"Timestamp","What is your age?","Gender ?","What was your WASSCE grade ?","What level are you ?","What is your current CGPA ?","How many siblings do you have ?","Do you have access to a laptop or internet ?","Do you join a study group ?","How many hours do you do independent studies ?"
"2022/10/20 9:31:26 am GMT","18 - 22 years","Male","10 - 15","L 300","1.9 - 1.5","Less than 3","Yes","No","Less than 2 hours"
"2022/10/20 9:31:26 am GMT","23 - 27 years","Male","10 - 15","L 300","4.0 - 3.6","More than 3","Yes","No","More than 2 hours"
"2022/10/20 9:33:39 am GMT","23 - 27 years","Male","16 - 20","L 300","3.5 - 3.0","Exactly 3","No","No","More than 2 hours"
"2022/10/20 9:35:03 am GMT","18 - 22 years","Male","16 - 20","L 300","2.9 - 2.5","Less than 3","No","No","More than 2 hours"
"2022/10/20 9:37:03 am GMT","18 - 22 years","Male","16 - 20","L 300","4.0 - 3.6","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/20 9:37:22 am GMT","28 - 32 years","Male","6 - 9","L 300","4.0 - 3.6","More than 3","Yes","No","More than 2 hours"
"2022/10/20 9:39:35 am GMT","23 - 27 years","Male","21 - 25","L 300","2.9 - 2.5","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/20 9:43:19 am GMT","23 - 27 years","Male","10 - 15","L 300","Below 1.5","More than 3","No","Yes","Exactly 2 hours"
"2022/10/20 9:43:35 am GMT","18 - 22 years","Female","6 - 9","L 300","2.9 - 2.5","Less than 3","Yes","No","More than 2 hours"
"2022/10/20 9:45:51 am GMT","23 - 27 years","Male","16 - 20","L 300","3.5 - 3.0","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/20 9:46:56 am GMT","18 - 22 years","Male","10 - 15","L 300","2.4 - 2.0","Exactly 3","Yes","No","Less than 2 hours"
"2022/10/20 9:52:42 am GMT","18 - 22 years","Male","21 - 25","L 300","2.4 - 2.0","Exactly 3","Yes","Yes","Exactly 2 hours"
"2022/10/20 10:09:02 am GMT","23 - 27 years","Male","10 - 15","L 300","3.5 - 3.0","More than 3","Yes","Yes","Less than 2 hours"
"2022/10/20 10:10:19 am GMT","18 - 22 years","Male","16 - 20","L 300","3.5 - 3.0","More than 3","Yes","Yes","More than 2 hours"
"2022/10/20 10:24:04 am GMT","23 - 27 years","Male","16 - 20","L 300","1.9 - 1.5","Exactly 3","Yes","No","Less than 2 hours"
"2022/10/20 10:24:19 am GMT","18 - 22 years","Male","10 - 15","L 300","2.9 - 2.5","Less than 3","Yes","No","More than 2 hours"
"2022/10/20 10:26:07 am GMT","23 - 27 years","Male","6 - 9","L 300","4.0 - 3.6","More than 3","Yes","Yes","More than 2 hours"
"2022/10/20 10:36:38 am GMT","23 - 27 years","Male","10 - 15","L 300","2.9 - 2.5","More than 3","Yes","Yes","More than 2 hours"
"2022/10/20 10:57:26 am GMT","23 - 27 years","Female","6 - 9","L 300","4.0 - 3.6","Exactly 3","No","No","Exactly 2 hours"
"2022/10/20 11:15:18 am GMT","18 - 22 years","Male","10 - 15","L 300","2.4 - 2.0","Exactly 3","Yes","Yes","Exactly 2 hours"
"2022/10/20 11:46:40 am GMT","23 - 27 years","Male","21 - 25","L 300","2.9 - 2.5","Less than 3","Yes","Yes","Less than 2 hours"
"2022/10/20 12:10:41 pm GMT","23 - 27 years","Female","10 - 15","L 400","3.5 - 3.0","More than 3","Maybe","Yes","More than 2 hours"
"2022/10/20 12:34:09 pm GMT","23 - 27 years","Male","16 - 20","L 300","2.9 - 2.5","More than 3","Yes","Yes","More than 2 hours"
"2022/10/20 12:34:54 pm GMT","18 - 22 years","Male","10 - 15","L 300","3.5 - 3.0","Less than 3","Yes","No","Exactly 2 hours"
"2022/10/20 2:26:56 pm GMT","23 - 27 years","Male","16 - 20","L 300","2.9 - 2.5","Less than 3","Yes","No","Less than 2 hours"
"2022/10/20 3:44:46 pm GMT","18 - 22 years","Male","16 - 20","L 300","2.9 - 2.5","Less than 3","Yes","No","Less than 2 hours"
"2022/10/20 8:15:37 pm GMT","18 - 22 years","Male","16 - 20","L 300","2.9 - 2.5","More than 3","Yes","Yes","More than 2 hours"
"2022/10/20 9:15:57 pm GMT","18 - 22 years","Male","6 - 9","L 300","3.5 - 3.0","More than 3","Yes","Yes","More than 2 hours"
"2022/10/21 8:49:20 am GMT","18 - 22 years","Male","10 - 15","L 300","2.9 - 2.5","More than 3","Yes","Yes","Exactly 2 hours"
"2022/10/21 8:50:07 am GMT","23 - 27 years","Male","16 - 20","L 300","2.9 - 2.5","Exactly 3","Yes","No","More than 2 hours"
"2022/10/21 8:50:28 am GMT","23 - 27 years","Male","16 - 20","L 300","2.9 - 2.5","More than 3","Yes","Yes","More than 2 hours"
"2022/10/21 8:52:14 am GMT","18 - 22 years","Male","16 - 20","L 300","2.4 - 2.0","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/21 8:52:28 am GMT","18 - 22 years","Male","16 - 20","L 300","2.9 - 2.5","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/21 8:52:52 am GMT","23 - 27 years","Male","10 - 15","L 300","2.9 - 2.5","More than 3","Yes","No","More than 2 hours"
"2022/10/21 8:54:27 am GMT","18 - 22 years","Male","6 - 9","L 300","2.9 - 2.5","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/21 8:56:00 am GMT","23 - 27 years","Male","16 - 20","L 300","3.5 - 3.0","More than 3","Yes","No","Exactly 2 hours"
"2022/10/21 8:57:53 am GMT","23 - 27 years","Male","16 - 20","L 300","3.5 - 3.0","More than 3","Yes","No","Less than 2 hours"
